key,manufacturer,ID,type,stages,ratio,mass,inertia,efficiency,direction,max_int_torque,max_cont_torque
FH_32GPT_R6.6:1,Faulhaber,32GPT_R6.6:1,planetary,1,6.6,0.18,2.74e-07,0.93,1.0,1.3,1.0
FH_32GPT_R9:1,Faulhaber,32GPT_R9:1,planetary,2,9.0,0.24,4.340000000000001e-07,0.89,1.0,4.0,3.0
FH_32GPT_R11:1,Faulhaber,32GPT_R11:1,planetary,2,11.0,0.24,4.340000000000001e-07,0.89,1.0,4.0,3.0
FH_32GPT_R14:1,Faulhaber,32GPT_R14:1,planetary,2,14.0,0.24,1.95e-07,0.89,1.0,4.0,3.0
FH_32GPT_R16:1,Faulhaber,32GPT_R16:1,planetary,2,16.0,0.24,1.95e-07,0.89,1.0,4.0,3.0
FH_32GPT_R20:1,Faulhaber,32GPT_R20:1,planetary,2,20.0,0.24,1.95e-07,0.89,1.0,4.0,3.0
FH_32GPT_R24:1,Faulhaber,32GPT_R24:1,planetary,2,24.0,0.24,1.95e-07,0.89,1.0,4.0,3.0
FH_32GPT_R30:1,Faulhaber,32GPT_R30:1,planetary,2,30.0,0.24,1.95e-07,0.89,1.0,4.0,3.0
FH_32GPT_R44:1,Faulhaber,32GPT_R44:1,planetary,2,44.0,0.24,1.95e-07,0.89,1.0,4.0,3.0
FH_32GPT_R41:1,Faulhaber,32GPT_R41:1,planetary,3,41.0,0.31,1.96e-07,0.8,1.0,7.0,5.0
FH_32GPT_R49:1,Faulhaber,32GPT_R49:1,planetary,3,49.0,0.31,1.96e-07,0.8,1.0,7.0,5.0
FH_32GPT_R59:1,Faulhaber,32GPT_R59:1,planetary,3,59.0,0.31,1.96e-07,0.8,1.0,7.0,5.0
FH_32GPT_R72:1,Faulhaber,32GPT_R72:1,planetary,3,72.0,0.31,1.96e-07,0.8,1.0,7.0,5.0
FH_32GPT_R89:1,Faulhaber,32GPT_R89:1,planetary,3,89.0,0.31,1.96e-07,0.8,1.0,7.0,5.0
FH_32GPT_R108:1,Faulhaber,32GPT_R108:1,planetary,3,108.0,0.31,1.96e-07,0.8,1.0,7.0,5.0
FH_32GPT_R131:1,Faulhaber,32GPT_R131:1,planetary,3,131.0,0.31,1.96e-07,0.8,1.0,7.0,5.0
FH_32GPT_R158:1,Faulhaber,32GPT_R158:1,planetary,3,158.0,0.31,1.96e-07,0.8,1.0,7.0,5.0
FH_32GPT_R196:1,Faulhaber,32GPT_R196:1,planetary,3,196.0,0.31,1.96e-07,0.8,1.0,7.0,5.0
FH_32GPT_R178:1,Faulhaber,32GPT_R178:1,planetary,4,178.0,0.36,8.3e-08,0.65,1.0,10.0,8.0
FH_32GPT_R215:1,Faulhaber,32GPT_R215:1,planetary,4,215.0,0.36,8.3e-08,0.65,1.0,10.0,8.0
FH_32GPT_R267:1,Faulhaber,32GPT_R267:1,planetary,4,267.0,0.36,8.3e-08,0.65,1.0,10.0,8.0
FH_32GPT_R323:1,Faulhaber,32GPT_R323:1,planetary,4,323.0,0.36,8.3e-08,0.65,1.0,10.0,8.0
FH_32GPT_R401:1,Faulhaber,32GPT_R401:1,planetary,4,401.0,0.36,8.3e-08,0.65,1.0,10.0,8.0
