key,manufacturer,ID,type,stages,ratio,mass,inertia,efficiency,direction,max_int_torque,max_cont_torque
MM_GPX12AAKLSL03D9CPLW,Maxon,GPX12AAKLSL03D9CPLW,planetary,1,3.94736842105263,0.011,5.78e-09,0.9,1,0.1,0.08
MM_GPX12AAKLSL0406CPLW,Maxon,GPX12AAKLSL0406CPLW,planetary,4,405.944744131798,0.019,8.34e-09,0.65,1,0.21,0.17
MM_GPX12AAKLSL0439CPLW,Maxon,GPX12AAKLSL0439CPLW,planetary,4,438.961874477536,0.019,8.34e-09,0.65,1,0.21,0.17
MM_GPX12AAKLSL0546CPLW,Maxon,GPX12AAKLSL0546CPLW,planetary,4,545.839548263371,0.019,8.34e-09,0.65,1,0.21,0.17
MM_GPX12AAKLSL0590CPLW,Maxon,GPX12AAKLSL0590CPLW,planetary,4,590.234889682102,0.019,8.34e-09,0.65,1,0.21,0.17
MM_GPX12AAKLSL05D3CPLW,Maxon,GPX12AAKLSL05D3CPLW,planetary,1,5.30769230769231,0.011,5.78e-09,0.9,1,0.1,0.08
MM_GPX12AAKLSL0679CPLW,Maxon,GPX12AAKLSL0679CPLW,planetary,4,678.739612188366,0.019,8.34e-09,0.65,1,0.21,0.17
MM_GPX12AAKLSL0734CPLW,Maxon,GPX12AAKLSL0734CPLW,planetary,4,733.94425412644,0.019,8.34e-09,0.65,1,0.21,0.17
MM_GPX12AAKLSL0794CPLW,Maxon,GPX12AAKLSL0794CPLW,planetary,4,793.638913203319,0.019,8.34e-09,0.65,1,0.21,0.17
MM_GPX12AAKLSL0913CPLW,Maxon,GPX12AAKLSL0913CPLW,planetary,4,912.643724696356,0.019,8.34e-09,0.65,1,0.21,0.17
MM_GPX12AAKLSL0987CPLW,Maxon,GPX12AAKLSL0987CPLW,planetary,4,986.872735548475,0.019,8.34e-09,0.65,1,0.21,0.17
MM_GPX12AAKLSL1135CPLW,Maxon,GPX12AAKLSL1135CPLW,planetary,4,1134.85263157895,0.019,8.34e-09,0.65,1,0.21,0.17
MM_GPX12AAKLSL1227CPLW,Maxon,GPX12AAKLSL1227CPLW,planetary,4,1227.15479289941,0.019,8.34e-09,0.65,1,0.21,0.17
MM_GPX12AAKLSL1526CPLW,Maxon,GPX12AAKLSL1526CPLW,planetary,4,1525.94030769231,0.019,8.34e-09,0.65,1,0.21,0.17
MM_GPX12AAKLSL16D0CPLW,Maxon,GPX12AAKLSL16D0CPLW,planetary,2,15.5817174515235,0.014,6.02e-09,0.8,1,0.14,0.11
